,haredim Average Wage,haredim Real Average Wage,haredim Real Average Wage Index,haredim Average Wage per Capita,haredim Real Average Wage per Capita,haredim Real Average Wage per Capita Index,haredim Number of Employees / Total Pop,meorav Average Wage,meorav Real Average Wage,meorav Real Average Wage Index,meorav Average Wage per Capita,meorav Real Average Wage per Capita,meorav Real Average Wage per Capita Index,meorav Number of Employees / Total Pop,not_haredi Average Wage,not_haredi Real Average Wage,not_haredi Real Average Wage Index,not_haredi Average Wage per Capita,not_haredi Real Average Wage per Capita,not_haredi Real Average Wage per Capita Index,not_haredi Number of Employees / Total Pop,arabs Average Wage,arabs Real Average Wage,arabs Real Average Wage Index,arabs Average Wage per Capita,arabs Real Average Wage per Capita,arabs Real Average Wage per Capita Index,arabs Number of Employees / Total Pop,israel Average Wage,israel Real Average Wage,israel Real Average Wage Index,israel Average Wage per Capita,israel Real Average Wage per Capita,israel Real Average Wage per Capita Index,israel Number of Employees / Total Pop
2003,4309.108688500181,5886.760503415549,100.0,973.5620702173325,1330.0028281657546,100.0,0.22134998190372784,5649.7300000000005,7718.210382513662,100.0,1458.9174305555557,1993.0565991196115,100.0,0.25853472222222224,6137.875297622288,8385.075543199846,100.0,2552.178717380172,3486.582947240672,100.0,0.4103890602938869,3617.5413175409835,4941.996335438502,100.0,812.7729424782218,1110.3455498336364,100.0,0.22173319984983106,5718.419461462188,7812.0484446204755,100.0,2173.2288981185616,2968.8919373204394,100.0,0.36311450685317476
2004,4216.29040865256,5461.516073384144,92.77625733568277,878.2951385131126,1137.6880032553272,85.5402694762947,0.20417747440273037,5524.619326700286,7156.242651166174,92.71893737671782,1348.4078860569716,1746.642339452036,87.63636417669105,0.24437644813956658,6231.502658851729,8071.894635818302,96.26501984665448,2441.739273796246,3162.8747069899555,90.7156019188672,0.38898008480020557,3839.8760438838294,4973.932699331385,100.64622394929496,859.1226937178859,1112.8532302045153,100.22584684301698,0.2213868613138686,5779.041451952023,7485.804989575159,95.82384239731675,2064.063238922217,2673.657045236032,90.0557211809174,0.34320588471742103
2005,4349.909093616157,5304.767187336777,90.11352142250234,978.8715308209594,1193.745769293853,89.75513014060145,0.22040583135048802,5620.580871699183,6854.366916706322,88.8077232545454,1455.610443388206,1775.1346870587877,89.06594463212505,0.25932302164812315,6505.2524558649075,7933.234702274278,94.61136827452911,2761.4462322175827,3367.617356362906,96.58790303635492,0.42160021453799973,3767.8971806357563,4594.996561750922,92.97855056671567,907.7681743695593,1107.0343589872675,99.70178735377783,0.23908717108240635,5982.554546350435,7295.798227256629,93.39161525912776,2313.9185891097577,2821.851937938729,95.04731049542946,0.37029387981336864
2006,4219.358917076235,4866.619281518149,82.67058390934191,882.532210652466,1017.914891179315,76.53479147733474,0.20545679012345677,5552.915418965064,6404.746734677121,82.98227720233803,1328.2661544523246,1532.0255530015277,76.86814080835768,0.23957184134489098,6259.32633215884,7219.522874462329,86.0996759929878,2366.551470768773,2729.58647147494,78.28829868037904,0.37643485871467863,3941.003132284942,4545.563013016081,91.97827567010435,928.3306408555379,1070.7389167883944,96.4329453068753,0.23367579640296227,5829.15912092808,6723.3669214856745,86.064071019881,2026.3163508516568,2337.1584208208264,78.72157256522509,0.33521985286112027
2007,4462.080938332648,4974.449206613876,84.50232014242228,1045.988107843765,1166.095995366516,87.67620419083715,0.2295588235294118,5755.603015075377,6416.502803874444,83.13459320066787,1551.5863007344412,1729.750613973736,86.78883553722534,0.26993428681870896,7049.836537537794,7859.349540175913,93.73021745224122,3170.420090010568,3534.470557425382,101.37348260200174,0.4478399228543878,4339.095601829002,4837.341808059087,97.88234308008387,1178.8902623814924,1314.2589324208388,118.36485791452533,0.269201931922723,6426.888496216814,7164.870118413392,91.71563859601073,2627.742876962354,2929.479238531052,98.67247782602155,0.392622667217808
2008,4757.035482962546,4839.303644926293,82.20656576938178,1166.2886144747958,1186.4584074006063,89.20720935886169,0.24108420163334268,5874.980560464528,5976.582462324037,77.43482188389879,1626.313908104014,1654.4393775218862,83.01015526868119,0.2771433981317849,7377.05207444084,7504.630798006959,89.4998591168697,3331.577611405157,3389.19390783841,97.2067482438834,0.44988194834020345,4509.891434806328,4587.885488104098,92.83465985607648,1257.600093835243,1279.3490272993315,115.22080018162066,0.27697326786688486,6710.872167037086,6826.929976639965,87.38975474916721,2767.5519254320316,2815.413962799625,94.83046275307228,0.3963423595046945
2009,4659.311028031903,5064.46850873033,86.03150248412318,1116.26283504077,1213.329168522576,91.22756304179543,0.23544829482948296,5864.26230529595,6374.19815793038,82.5864784972917,1603.2473009345795,1742.6601097114992,87.43655902603471,0.273586292834891,7437.5559245235245,8084.299917960352,96.41296463353372,3329.530325316446,3619.0547014309195,103.79947232562148,0.4453240925851883,4512.567893754183,4904.965101906721,99.25068269949466,1226.1315911242493,1332.7517294828797,120.03035718768508,0.2696725798276735,6713.2621832911655,7297.024112273006,93.40730749433428,2708.7313784662088,2944.2732374632706,99.1707781766086,0.3872649472105403
2010,4856.678050477195,5074.898694333537,86.2086828806614,1228.9707465544661,1284.1909577371641,96.55550578852747,0.2493804376482995,6208.6878436163715,6487.657098867682,84.05649467091601,1748.6821356139278,1827.2540602026413,91.68099195024317,0.2819205864386072,7933.628634442221,8290.103066292811,98.867362894732,3575.3135281611194,3735.959799541399,107.15247151937363,0.44969586403333245,4686.000466715121,4896.552211823533,99.08045007461673,1373.6019326600674,1435.3207237827246,129.2679314108819,0.2906574119980168,7150.908885427351,7472.214091355644,95.64986884459418,2962.1843939836126,3095.281498415478,104.25712904893099,0.3983097466000232
2011,5126.218075891674,4972.08348777078,84.46213303371073,1340.5974639333153,1300.2885198189285,97.76584622847713,0.2579979751961529,6568.039684437007,6370.552555225031,82.53924471478676,1939.606765479321,1881.286872433871,94.39204452421912,0.29549486014821896,8405.532014302735,8152.79535819858,97.2298378970522,3912.2374685364225,3794.6047221497793,108.83448865465483,0.46513310548464337,5047.930044475547,4896.149412682394,99.07229953961428,1576.1716661883902,1528.779501637624,137.68502083578232,0.30959844433641226,7578.6304183308575,7350.756952794237,94.09512760838173,3248.4045192665985,3150.7318324603284,106.1248404784988,0.4131436473589177
2012,5217.2696038701415,4848.7635723700205,82.36726412696298,1358.0889490325922,1262.1644507737847,94.89938096706697,0.25749456915278784,6581.77802690583,6116.8940770500285,79.25275127131067,1968.7499114939817,1829.693226295522,91.8033751326354,0.2993485957045079,8480.617958851148,7881.615203393261,93.99575666059583,3919.115483240143,3642.300634981546,104.46619770982677,0.4622925814123674,5289.794454464331,4916.165849873913,99.4773268976474,1706.2599750618544,1585.7434712470767,142.81531289828374,0.3199325448161154,7645.170631774221,7105.177167076414,90.95152465380797,3257.5390354889632,3027.4526352127914,101.97247657135024,0.412168325563815
